registry_id,source_family,source_zip,internal_path,file_name,extension,size_bytes,recommended_decision,boundary_required,claim_scope,quarantine_status,adapter_target,packet_target,runtime_allowed_now,emits_act,emits_decision,source_status,notes
d80a8b21c83e6d26c13082ed,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C135_temporal_contextual_trigger_engine.yaml,C135_temporal_contextual_trigger_engine.yaml,.yaml,3113,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
1565306ac99ad4695457a990,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C191_style_poetic.yaml,C191_style_poetic.yaml,.yaml,2884,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
3e1dbb0b7035108bcdb32bc8,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C078_spectres_symboliques.yaml,C078_spectres_symboliques.yaml,.yaml,3040,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
f4645cb93479dea7f63c5e55,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C050_ephemeral_agents.yaml,C050_ephemeral_agents.yaml,.yaml,3008,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
cacffb4e1d399454e94502fd,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C044_spawn_despawn_engine.yaml,C044_spawn_despawn_engine.yaml,.yaml,3040,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
1343054c10bcbac87b51ce48,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C270_feedback_integration_node.yaml,C270_feedback_integration_node.yaml,.yaml,3090,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
8002314c9216fbab64813aa4,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C351_contextual_cleaner_microagent.yaml,C351_contextual_cleaner_microagent.yaml,.yaml,3107,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
1565b6dcff13fb7cf15b5216,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C443_proof_surface_registry.yaml,C443_proof_surface_registry.yaml,.yaml,3200,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
d33d4d64491c5b516ac51498,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C076_agent_socratique.yaml,C076_agent_socratique.yaml,.yaml,3008,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
84443f014ba468a9c4e696d3,COGNITIVE_REINTEGRATION,OBSIDIA_COGNITIVE_REINTEGRATION_SPEC_V1_VERIFIED_FULL(1).zip,component_specs/C075_detecteur_disruption.yaml,C075_detecteur_disruption.yaml,.yaml,3040,INTEGRATE_TO_COGNITIVE_ADVISORY_SPEC_CANDIDATE,COGNITIVE_REINTEGRATION_ADVISORY_ONLY,ADVISORY_ONLY,CLEAR,cognitive_to_context_packet,ContextPacket,False,False,False,COPIED_READONLY,COGNITIVE_REINTEGRATION|F07 audit only; no extraction; no runtime import
