I0802 21:18:53.116795      11 gnss_block_factory.cc:920] Getting SignalSource SignalSource with implementation File_Signal_Source
I0802 21:19:22.874403      35 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 11870 ( 0.005935 s)for satellite GPS PRN 31 (Block IIR-M) in channel 5
I0802 21:19:22.979095    1427 pcps_acquisition.cc:353] Successful acquisition in channel 1 for satellite G 30
I0802 21:19:22.979757      47 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 2113 ( 0.0010565 s)for satellite GPS PRN 30 (Block IIF) in channel 1
I0802 21:19:31.389601    2790 pcps_acquisition.cc:353] Successful acquisition in channel 7 for satellite G 15
I0802 21:19:31.389601    2790 pcps_acquisition.cc:353] Successful acquisition in channel 7 for satellite G 15
I0802 21:19:31.389884      29 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 6188 ( 0.003094 s)for satellite GPS PRN 15 (Block IIR-M) in channel 7
I0802 21:19:33.646465      35 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 5, satellite GPS PRN 31 (Block IIR-M) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:33.802834      47 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 1, satellite GPS PRN 30 (Block IIF) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:33.805003      11 gnss_flowgraph.cc:1914] Channel 1 Idle state
I0802 21:19:35.547577    3163 pcps_acquisition.cc:353] Successful acquisition in channel 1 for satellite G 26
I0802 21:19:35.549383      47 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 8017 ( 0.0040085 s)for satellite GPS PRN 26 (Block IIF) in channel 1
I0802 21:19:35.700425    3195 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 5
I0802 21:19:35.700425    3195 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 5
I0802 21:19:35.700585      35 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = -2000 ( -0.001 s)for satellite GPS PRN 05 (Block IIR-M) in channel 5
I0802 21:19:40.573392      35 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 5, satellite GPS PRN 05 (Block IIR-M) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:41.852283      29 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 7, satellite GPS PRN 15 (Block IIR-M) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:41.856915      11 gnss_flowgraph.cc:1914] Channel 7 Idle state
I0802 21:19:42.941077    3562 pcps_acquisition.cc:353] Successful acquisition in channel 7 for satellite G 18
I0802 21:19:42.942508      29 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 2082 ( 0.001041 s)for satellite GPS PRN 18 (Block III) in channel 7
I0802 21:19:45.756468    4060 pcps_acquisition.cc:353] Successful acquisition in channel 5 for satellite G 14
I0802 21:19:45.761097      35 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 6190 ( 0.003095 s)for satellite GPS PRN 14 (Block III) in channel 5
I0802 21:19:45.789579      47 dll_pll_veml_tracking.cc:1238] Loss of lock in channel 1, satellite GPS PRN 26 (Block IIF) (carrier_lock_fail_counter:5001 code_lock_fail_counter : 0)
I0802 21:19:45.832410    4068 pcps_acquisition.cc:353] Successful acquisition in channel 1 for satellite G 30
I0802 21:19:45.832410    4068 pcps_acquisition.cc:353] Successful acquisition in channel 1 for satellite G 30
I0802 21:19:45.832584      47 dll_pll_veml_tracking.cc:2005] Pull-in: Number of samples between Acquisition and Tracking = 11273 ( 0.0056365 s)for satellite GPS PRN 30 (Block IIF) in channel 1
