"source_zip","zip_path","internal_path","file_name","extension","size_bytes","recommended_decision","boundary_required","claim_scope_risk","runtime_allowed_now","reality_claim_allowed","action_claim_allowed","notes"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_V0/context_packets_snapshot.json","context_packets_snapshot.json",".json","73194","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_V0/graphiti_nodes_snapshot.json","graphiti_nodes_snapshot.json",".json","475939","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_V0/registry_snapshot.json","registry_snapshot.json",".json","441919","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/.runtime_freezes/WORLD_PROTOCOL_ATLAS_V0/scenario_candidates_snapshot.json","scenario_candidates_snapshot.json",".json","140642","ARCHIVE_ONLY","ATLAS_READONLY_ADVISORY_ONLY","RUNTIME_FREEZE_ARCHIVE_ONLY","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/COMPLETION_AUDIT_V0_3.json","COMPLETION_AUDIT_V0_3.json",".json","4891","INTEGRATE_TO_ATLAS_READONLY_SPEC_CANDIDATE","ATLAS_READONLY_ADVISORY_ONLY","REALITY_OR_ACTION_CLAIM_SCOPE","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/COMPLETION_AUDIT_V0_3.md","COMPLETION_AUDIT_V0_3.md",".md","3452","INTEGRATE_TO_ATLAS_READONLY_SPEC_CANDIDATE","ATLAS_READONLY_ADVISORY_ONLY","REALITY_OR_ACTION_CLAIM_SCOPE","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/FILE_INDEX_COMPLETE.md","FILE_INDEX_COMPLETE.md",".md","1545","INTEGRATE_TO_ATLAS_READONLY_SPEC_CANDIDATE","ATLAS_READONLY_ADVISORY_ONLY","REALITY_OR_ACTION_CLAIM_SCOPE","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/FINAL_NO_MISSING_CHECK_V0_3.json","FINAL_NO_MISSING_CHECK_V0_3.json",".json","1648","INTEGRATE_TO_ATLAS_READONLY_SPEC_CANDIDATE","ATLAS_READONLY_ADVISORY_ONLY","REALITY_OR_ACTION_CLAIM_SCOPE","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/GAP_REPORT_V0_TO_V0_1.md","GAP_REPORT_V0_TO_V0_1.md",".md","1425","INTEGRATE_TO_ATLAS_READONLY_SPEC_CANDIDATE","ATLAS_READONLY_ADVISORY_ONLY","REALITY_OR_ACTION_CLAIM_SCOPE","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
"OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","C:\Users\User\Downloads\OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT.zip","OBSIDIA_BRANCHABLE_ATLAS_FULL_V0_3_COMPLETION_AUDIT/MANIFEST_SHA256_ALL_FILES.json","MANIFEST_SHA256_ALL_FILES.json",".json","124722","INTEGRATE_TO_ATLAS_READONLY_SPEC_CANDIDATE","ATLAS_READONLY_ADVISORY_ONLY","REALITY_OR_ACTION_CLAIM_SCOPE","false","false","false","F06 canon repair inventory; deduped zip source; no extraction; no runtime import"
